id,date,city,venue,team1,team2,toss_winner,toss_decision,winner,player_of_match,season
1082591,2017-04-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,Yuvraj Singh,2017
1082592,2017-04-06,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,field,Rising Pune Supergiants,SPD Smith,2017
1082593,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,CA Lynn,2017
1082594,2017-04-08,Indore,Holkar Cricket Stadium,Punjab Kings,Rising Pune Supergiants,Punjab Kings,field,Punjab Kings,GJ Maxwell,2017
1082595,2017-04-08,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,KM Jadhav,2017
1082596,2017-04-09,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Rashid Khan,2017
1082597,2017-04-09,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,N Rana,2017
1082598,2017-04-10,Indore,Holkar Cricket Stadium,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,AR Patel,2017
1082599,2017-04-11,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,Delhi Capitals,Rising Pune Supergiants,field,Delhi Capitals,SV Samson,2017
1082600,2017-04-12,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,JJ Bumrah,2017
1082601,2017-04-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,2017
1082602,2017-04-14,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,KA Pollard,2017
1082603,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,field,Gujarat Lions,AJ Tye,2017
