id,date,city,venue,team1,team2,toss_winner,toss_decision,winner,player_of_match,season,team1_won,team1_enc,team2_enc,toss_winner_enc,venue_enc,toss_decision_enc,team1_team_win_pct,team1_h2h_win_rate,team1_venue_win_pct,team1_recent_form_5,team2_team_win_pct,team2_h2h_win_rate,team2_venue_win_pct,team2_recent_form_5,avg_venue_score
335982,2008-04-18,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,BB McCullum,2007,0,12,5,12,17,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,165.54651162790697
335983,2008-04-19,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,2007,0,9,0,0,28,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,156.95714285714286
335984,2008-04-19,Delhi,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,MF Maharoof,2007,1,1,10,10,11,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,155.635593220339
335986,2008-04-20,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,DJ Hussey,2007,1,5,13,13,10,0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,162.16666666666666
335985,2008-04-20,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,MV Boucher,2007,0,7,12,7,40,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,166.984496124031
335987,2008-04-21,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,SR Watson,2007,1,10,9,9,32,0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,161.11363636363637
335988,2008-04-22,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,V Sehwag,2007,0,13,1,13,29,0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,161.58823529411765
335989,2008-04-23,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,ML Hayden,2007,1,0,7,7,19,1,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,158.45698924731184
335990,2008-04-24,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,2007,0,13,10,10,29,1,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,161.58823529411765
335991,2008-04-25,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,KC Sangakkara,2007,1,9,7,7,28,1,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,156.95714285714286
